2 0.277706027
3 0.428105712
4 0.406235933
5 0.333629012
6 0.639628470
7 0.455950171
8 0.463292420
9 0.345905840
10 0.630438387
11 0.704909086
12 0.537480831
13 0.366325200
14 0.495192438
15 0.600938916
16 0.602170229
17 0.104720294
18 0.645810246
19 0.683623075
20 0.437428176
21 0.516663432
22 0.680069208
23 0.599273801
24 0.478658348
25 0.609853566
26 0.622587562
27 0.570647120
28 0.449996889
29 0.430864990
30 0.506039500
31 0.435925007
32 0.433596432
33 0.560178757
34 0.472730637
35 0.647549570
36 0.512065530
37 0.542733431
38 0.528040528
39 0.657517552
40 0.487384409
